Title,Subtitles,Author,Category,Goal Amount,Current Amount,Image,Video,Is_Top,Is Recommended,Start Date,End Date,Creation Date,Content,Tags
Innovative Home Security: Stay Safe,"Track, analyze, and improve your health seamlessly.",Natalie Boyd,Gaming,7235954,4613792,Images/Innovative Home Security: Stay Safe_223.png,,True,True,2024-06-01,2024-09-16,2024-09-13,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Music', 'Tech']"
Build the World’s Smartest Smartwatch,Redefining personal productivity with smart AI.,Lauren Smith,Music,8319288,2044486,Images/Build the World’s Smartest Smartwatch_224.png,,False,False,2024-04-27,2024-10-10,2024-09-10,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Food', 'Fashion']"
Reusable Masks to Protect the Planet,Bringing cutting-edge technology to your fingertips.,Joanne Guerrero,Environment,7237558,6289455,Images/Reusable Masks to Protect the Planet_225.png,,True,True,2024-06-22,2024-10-13,2024-09-07,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Business', 'Gaming']"
Yoga Mat with Built-in Guidance System,Giving every child a chance to succeed.,Amanda Roberts,Education,9518851,4930250,Images/Yoga Mat with Built-in Guidance System_226.png,,False,True,2024-02-20,2024-09-16,2024-09-12,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Travel', 'Community']"
Electric Bikes for a Sustainable Future,Bringing cutting-edge technology to your fingertips.,Michael Dodson,Tech,5116435,4234342,Images/Electric Bikes for a Sustainable Future_227.png,,True,False,2024-01-06,2024-10-06,2024-09-09,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Tech', 'Fashion']"
Electric Bikes for a Sustainable Future,"Your health, fitness, and convenience – all in one.",Joshua Hogan,Photography,8540795,9594934,Images/Electric Bikes for a Sustainable Future_228.png,,True,False,2024-07-05,2024-10-02,2024-09-02,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Film', 'Food']"
Virtual Reality Fitness: Work Out at Home,Redefining personal productivity with smart AI.,Katelyn Craig,Charity,5628014,957889,Images/Virtual Reality Fitness: Work Out at Home_229.png,,True,False,2024-02-22,2024-09-19,2024-09-03,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Tech', 'Education']"
Virtual Reality Fitness: Work Out at Home,Bridging the gap between knowledge and access.,Samantha Gilbert,Health,2266071,5172228,Images/Virtual Reality Fitness: Work Out at Home_230.png,,True,True,2024-07-08,2024-09-27,2024-09-12,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Sports', 'Family']"
Mental Health Support App for Teens,"Smart, efficient, and affordable home protection.",Alexis Mcknight,Business,1140993,4172998,Images/Mental Health Support App for Teens_231.png,,False,False,2024-05-07,2024-10-10,2024-09-10,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Family', 'Gaming']"
Affordable Hearing Aids for All,Bridging the gap between knowledge and access.,Chase Morales,Film,9067919,4483968,Images/Affordable Hearing Aids for All_232.png,,False,False,2024-08-28,2024-09-24,2024-09-10,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Animals', 'Education']"
Build the World’s Smartest Smartwatch,Giving every child a chance to succeed.,Alexander Myers,Community,2422169,8008695,Images/Build the World’s Smartest Smartwatch_233.png,,False,True,2024-02-06,2024-09-30,2024-09-04,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Food', 'Fashion']"
Innovative Home Security: Stay Safe,Giving every child a chance to succeed.,Stephen Green,Fashion,1159151,8654887,Images/Innovative Home Security: Stay Safe_234.png,,False,False,2024-03-10,2024-09-15,2024-09-06,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Charity', 'Tech']"
A Portable Water Purifier for Everyone,Redefining personal productivity with smart AI.,Chad Moon,Tech,9734170,8268210,Images/A Portable Water Purifier for Everyone_235.png,,False,False,2024-03-08,2024-09-25,2024-09-07,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Community', 'Fashion']"
Electric Bikes for a Sustainable Future,"Interactive, fun, and effective – promoting healthy habits.",Adam Pham,Sports,5003589,6579279,Images/Electric Bikes for a Sustainable Future_236.png,,True,False,2024-04-22,2024-10-08,2024-09-07,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Animals', 'Education']"
Solar-Powered Charger for the Future,"Building the future with science, technology, engineering, and math.",Bobby Nixon,Charity,8023090,6781739,Images/Solar-Powered Charger for the Future_237.png,,True,False,2024-07-28,2024-10-08,2024-09-01,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Health', 'Business']"
Wearable Tech to Monitor Your Health,Giving every child a chance to succeed.,William Walton,Animals,1885968,6202972,Images/Wearable Tech to Monitor Your Health_238.png,,True,False,2024-02-14,2024-10-04,2024-09-06,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Health', 'Community']"
Yoga Mat with Built-in Guidance System,Giving every child a chance to succeed.,James Vargas,Fashion,3232674,6521940,Images/Yoga Mat with Built-in Guidance System_239.png,,False,True,2024-05-16,2024-10-10,2024-09-02,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Events', 'Tech']"
Wearable Tech to Monitor Your Health,Bringing cutting-edge technology to your fingertips.,Zachary Rogers,Environment,6273104,8995071,Images/Wearable Tech to Monitor Your Health_240.png,,False,True,2024-06-05,2024-10-09,2024-09-12,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Fashion', 'Community']"
Revolutionize Tech with AI,"Track, analyze, and improve your health seamlessly.",Stephanie Harris,Environment,806960,3187943,Images/Revolutionize Tech with AI_241.png,,False,False,2024-06-04,2024-10-07,2024-09-08,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Health', 'Community']"
Organic Skincare Line for Sensitive Skin,"Preserving the past, for the future.",Shawn Johnson,Education,4750610,4635767,Images/Organic Skincare Line for Sensitive Skin_242.png,,False,False,2024-07-09,2024-10-07,2024-09-11,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Family', 'Food']"
Innovative Home Security: Stay Safe,"Preserving the past, for the future.",Gabriela Brown,Gaming,7631954,4349618,Images/Innovative Home Security: Stay Safe_243.png,,False,False,2024-02-23,2024-10-02,2024-09-10,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Fashion', 'Publishing']"
Wearable Tech to Monitor Your Health,"Track, analyze, and improve your health seamlessly.",Bryan Brown,Community,9004330,209959,Images/Wearable Tech to Monitor Your Health_244.png,,True,True,2024-03-09,2024-09-24,2024-09-13,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Environment', 'Travel']"
Next-Gen AI Assistant for Everyone,"Building the future with science, technology, engineering, and math.",Joseph Rogers,Charity,4484120,4384143,Images/Next-Gen AI Assistant for Everyone_245.png,,False,True,2024-08-07,2024-09-23,2024-09-11,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Travel', 'Community']"
Wearable Tech to Monitor Your Health,"Building the future with science, technology, engineering, and math.",Joseph Bell,Music,7253623,4381516,Images/Wearable Tech to Monitor Your Health_246.png,,False,True,2024-04-02,2024-09-26,2024-09-02,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Community', 'Gaming']"
Wearable Tech to Monitor Your Health,"Preserving the past, for the future.",Sherry Norton,Travel,7629249,4253972,Images/Wearable Tech to Monitor Your Health_247.png,,True,False,2024-07-30,2024-09-30,2024-09-10,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Environment', 'Music']"
Mental Health Support App for Teens,"Preserving the past, for the future.",Samantha Gardner,Fashion,8323654,6631982,Images/Mental Health Support App for Teens_248.png,,False,False,2024-01-26,2024-10-13,2024-09-07,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Health', 'Charity']"
Plant-Based Supplements for Optimal Health,"Your health, fitness, and convenience – all in one.",Desiree Pearson,Tech,3911002,5094464,Images/Plant-Based Supplements for Optimal Health_249.png,,True,False,2024-09-08,2024-10-02,2024-09-09,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Photography', 'Gaming']"
A Portable Water Purifier for Everyone,"Interactive, fun, and effective – promoting healthy habits.",Carlos Pierce,Sports,2854289,5835377,Images/A Portable Water Purifier for Everyone_250.png,,True,False,2024-07-19,2024-09-21,2024-09-10,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Photography', 'Gaming']"
A Portable Water Purifier for Everyone,Creating opportunities for young and talented creatives.,Elizabeth Deleon,Charity,4269117,2706609,Images/A Portable Water Purifier for Everyone_251.png,,True,True,2024-09-13,2024-09-23,2024-09-12,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Film', 'Publishing']"
Next-Gen AI Assistant for Everyone,Unveiling the real stories behind our changing planet.,James Lopez,Animals,7873042,9830099,Images/Next-Gen AI Assistant for Everyone_252.png,,False,False,2024-04-26,2024-09-29,2024-09-05,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Fashion', 'Charity']"
Reusable Masks to Protect the Planet,"Interactive, fun, and effective – promoting healthy habits.",Heather Hernandez,Film,7998750,412243,Images/Reusable Masks to Protect the Planet_253.png,,True,True,2024-02-08,2024-10-02,2024-09-03,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Education', 'Business']"
Affordable Hearing Aids for All,Creating opportunities for young and talented creatives.,David Osborne,Animals,4218387,7386044,Images/Affordable Hearing Aids for All_254.png,,True,True,2024-03-19,2024-10-09,2024-09-09,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Animals', 'Film']"
Build the World’s Smartest Smartwatch,"Interactive, fun, and effective – promoting healthy habits.",Taylor Sparks,Publishing,5812037,7398882,Images/Build the World’s Smartest Smartwatch_255.png,,True,True,2024-01-08,2024-09-17,2024-09-03,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Environment', 'Charity']"
Crowdfunding Cancer Research Breakthroughs,Redefining personal productivity with smart AI.,Latasha Henderson,Travel,9050953,2226059,Images/Crowdfunding Cancer Research Breakthroughs_256.png,,False,False,2024-05-12,2024-10-09,2024-09-12,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Environment', 'Health']"
Solar-Powered Charger for the Future,Bringing cutting-edge technology to your fingertips.,Michael Ramos,Health,3487527,3814160,Images/Solar-Powered Charger for the Future_257.png,,True,True,2024-06-07,2024-09-29,2024-09-11,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Film', 'Environment']"
Solar-Powered Charger for the Future,"Preserving the past, for the future.",Brian Brooks,Tech,1647628,6096397,Images/Solar-Powered Charger for the Future_258.png,,False,False,2024-08-24,2024-09-23,2024-09-05,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Education', 'Charity']"
Yoga Mat with Built-in Guidance System,"Track, analyze, and improve your health seamlessly.",Ryan Woodard,Events,4936886,996756,Images/Yoga Mat with Built-in Guidance System_259.png,,True,True,2024-07-21,2024-09-23,2024-09-09,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Publishing', 'Art']"
Build the World’s Smartest Smartwatch,Creating opportunities for young and talented creatives.,Brittany Wilson,Animals,9398016,7219363,Images/Build the World’s Smartest Smartwatch_260.png,,True,True,2024-03-06,2024-09-16,2024-09-01,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Film', 'Food']"
Electric Bikes for a Sustainable Future,Bridging the gap between knowledge and access.,Robert Reid,Film,1101688,5771263,Images/Electric Bikes for a Sustainable Future_261.png,,False,False,2024-04-15,2024-09-22,2024-09-10,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Environment', 'Photography']"
Mental Health Support App for Teens,"Harness the power of the sun, anywhere, anytime.",Robert Mendez,Environment,602626,9504453,Images/Mental Health Support App for Teens_262.png,,True,True,2024-04-24,2024-09-17,2024-09-03,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Charity', 'Environment']"
Innovative Home Security: Stay Safe,"Clean water on the go, for any adventure.",Marissa Wright,Music,4673791,8820919,Images/Innovative Home Security: Stay Safe_263.png,,True,True,2024-02-04,2024-09-19,2024-09-02,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Family', 'Environment']"
Electric Bikes for a Sustainable Future,"Harness the power of the sun, anywhere, anytime.",Kimberly Brown,Education,1508095,649944,Images/Electric Bikes for a Sustainable Future_264.png,,True,True,2024-03-12,2024-09-29,2024-09-05,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Animals', 'Health']"
Crowdfunding Cancer Research Breakthroughs,Unveiling the real stories behind our changing planet.,Samuel Lowe,Photography,9655460,913365,Images/Crowdfunding Cancer Research Breakthroughs_265.png,,False,False,2024-07-26,2024-09-28,2024-09-09,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Music', 'Music']"
Electric Bikes for a Sustainable Future,Redefining personal productivity with smart AI.,Danielle Trevino,Animals,6505630,5639449,Images/Electric Bikes for a Sustainable Future_266.png,,True,False,2024-04-23,2024-09-28,2024-09-12,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Events', 'Tech']"
A Portable Water Purifier for Everyone,Bringing cutting-edge technology to your fingertips.,Jeffery Reed,Environment,390609,9517667,Images/A Portable Water Purifier for Everyone_267.png,,True,False,2024-08-24,2024-10-10,2024-09-03,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Business', 'Community']"
"Wireless Charging: Charge Anywhere, Anytime","Interactive, fun, and effective – promoting healthy habits.",Brandi Rogers,Charity,501398,1598979,"Images/Wireless Charging: Charge Anywhere, Anytime_268.png",,True,True,2024-01-22,2024-09-27,2024-09-08,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Photography', 'Art']"
Revolutionize Tech with AI,"Interactive, fun, and effective – promoting healthy habits.",Heather Duncan,Gaming,9065796,5837527,Images/Revolutionize Tech with AI_269.png,,False,False,2024-09-01,2024-10-02,2024-09-05,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Community', 'Tech']"
Plant-Based Supplements for Optimal Health,"Clean water on the go, for any adventure.",Andre White,Photography,6371532,4888388,Images/Plant-Based Supplements for Optimal Health_270.png,,False,False,2024-09-11,2024-09-27,2024-09-01,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Photography', 'Fashion']"
Crowdfunding Cancer Research Breakthroughs,Unveiling the real stories behind our changing planet.,Jonathon Hardy,Community,3425426,7320185,Images/Crowdfunding Cancer Research Breakthroughs_271.png,,False,True,2024-06-02,2024-10-02,2024-09-10,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Music', 'Family']"
Build the World’s Smartest Smartwatch,"Building the future with science, technology, engineering, and math.",Carol Kim,Sports,5462023,5722485,Images/Build the World’s Smartest Smartwatch_272.png,,True,True,2024-02-02,2024-10-07,2024-09-09,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Family', 'Events']"
Solar-Powered Charger for the Future,"Track, analyze, and improve your health seamlessly.",Brian Clark,Events,1654937,2672052,Images/Solar-Powered Charger for the Future_273.png,,False,True,2024-06-30,2024-09-26,2024-09-05,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Health', 'Business']"
Cutting-Edge Robotics for All Ages,Giving every child a chance to succeed.,Mr. Stephen Clark,Community,1815425,9420534,Images/Cutting-Edge Robotics for All Ages_274.png,,True,False,2024-08-03,2024-09-25,2024-09-02,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Travel', 'Photography']"
Cutting-Edge Robotics for All Ages,Bridging the gap between knowledge and access.,Daniel Lewis,Education,9904154,3179945,Images/Cutting-Edge Robotics for All Ages_275.png,,True,True,2024-01-02,2024-10-05,2024-09-07,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Events', 'Art']"
Organic Skincare Line for Sensitive Skin,"Smart, efficient, and affordable home protection.",James Stevenson,Publishing,6033985,7802578,Images/Organic Skincare Line for Sensitive Skin_276.png,,False,False,2024-06-30,2024-09-17,2024-09-10,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Music', 'Photography']"
Wearable Tech to Monitor Your Health,"Clean water on the go, for any adventure.",Shannon Harris,Family,9939252,8142928,Images/Wearable Tech to Monitor Your Health_277.png,,False,False,2024-03-24,2024-10-03,2024-09-04,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Education', 'Photography']"
Innovative Home Security: Stay Safe,"Interactive, fun, and effective – promoting healthy habits.",Mario Chan,Charity,76907,7755679,Images/Innovative Home Security: Stay Safe_278.png,,False,False,2024-03-01,2024-09-25,2024-09-06,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Fashion', 'Travel']"
Crowdfunding Cancer Research Breakthroughs,"Clean water on the go, for any adventure.",Peggy Goodwin,Publishing,3591937,5687650,Images/Crowdfunding Cancer Research Breakthroughs_279.png,,False,False,2024-03-01,2024-09-30,2024-09-03,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Publishing', 'Music']"
Yoga Mat with Built-in Guidance System,Creating opportunities for young and talented creatives.,Jessica King,Charity,5867517,6902234,Images/Yoga Mat with Built-in Guidance System_280.png,,True,False,2024-01-06,2024-09-19,2024-09-09,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Education', 'Publishing']"
The Future of 3D Printing,"Smart, efficient, and affordable home protection.",Mr. John Ray,Environment,3036004,2215963,Images/The Future of 3D Printing_281.png,,True,True,2024-04-02,2024-10-11,2024-09-10,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Tech', 'Photography']"
Innovative Home Security: Stay Safe,"Harness the power of the sun, anywhere, anytime.",Dustin Sims,Animals,8273976,5877084,Images/Innovative Home Security: Stay Safe_282.png,,False,True,2024-03-28,2024-09-30,2024-09-11,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Fashion', 'Art']"
Plant-Based Supplements for Optimal Health,"Harness the power of the sun, anywhere, anytime.",Mary Lewis,Animals,1223150,1809747,Images/Plant-Based Supplements for Optimal Health_283.png,,True,True,2024-02-22,2024-10-09,2024-09-01,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Family', 'Tech']"
Cutting-Edge Robotics for All Ages,"Your health, fitness, and convenience – all in one.",Jackie Curtis DVM,Business,2704764,357127,Images/Cutting-Edge Robotics for All Ages_284.png,,False,False,2024-04-21,2024-10-06,2024-09-11,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Tech', 'Food']"
Virtual Reality Fitness: Work Out at Home,"Building the future with science, technology, engineering, and math.",Andrea Drake,Art,707824,8746210,Images/Virtual Reality Fitness: Work Out at Home_285.png,,True,True,2024-02-04,2024-10-07,2024-09-05,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Photography', 'Gaming']"
Build the World’s Smartest Smartwatch,Giving every child a chance to succeed.,Paul Chase,Travel,3736649,6329201,Images/Build the World’s Smartest Smartwatch_286.png,,False,True,2024-05-20,2024-09-27,2024-09-11,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Food', 'Charity']"
Mental Health Support App for Teens,"Building the future with science, technology, engineering, and math.",Andre Glass,Events,223340,9044937,Images/Mental Health Support App for Teens_287.png,,True,True,2024-06-23,2024-09-28,2024-09-10,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Sports', 'Music']"
Electric Bikes for a Sustainable Future,"Harness the power of the sun, anywhere, anytime.",Amanda Duarte,Business,1327011,3820015,Images/Electric Bikes for a Sustainable Future_288.png,,False,False,2024-01-16,2024-09-24,2024-09-09,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Health', 'Travel']"
Build the World’s Smartest Smartwatch,"Harness the power of the sun, anywhere, anytime.",Miguel Bentley,Business,5267824,6365762,Images/Build the World’s Smartest Smartwatch_289.png,,False,True,2024-01-20,2024-09-24,2024-09-02,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Food', 'Community']"
A Portable Water Purifier for Everyone,"Preserving the past, for the future.",Jacqueline Joyce,Animals,2709421,6287902,Images/A Portable Water Purifier for Everyone_290.png,,True,True,2024-06-17,2024-09-17,2024-09-12,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Food', 'Animals']"
"Wireless Charging: Charge Anywhere, Anytime",Giving every child a chance to succeed.,John Wilson,Music,7734246,1182096,"Images/Wireless Charging: Charge Anywhere, Anytime_291.png",,True,False,2024-05-26,2024-10-02,2024-09-05,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Family', 'Sports']"
Build the World’s Smartest Smartwatch,Creating opportunities for young and talented creatives.,Kristy Mueller,Animals,127084,3292313,Images/Build the World’s Smartest Smartwatch_292.png,,False,False,2024-07-29,2024-09-28,2024-09-04,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Fashion', 'Education']"
Virtual Reality Fitness: Work Out at Home,"Track, analyze, and improve your health seamlessly.",Rebecca Sawyer,Health,4136909,6628009,Images/Virtual Reality Fitness: Work Out at Home_293.png,,True,False,2024-02-10,2024-10-03,2024-09-01,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Community', 'Art']"
Cutting-Edge Robotics for All Ages,"Clean water on the go, for any adventure.",Mrs. Ashley Gardner,Environment,9826182,6454071,Images/Cutting-Edge Robotics for All Ages_294.png,,False,True,2024-08-18,2024-10-03,2024-09-09,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Business', 'Events']"
"Wireless Charging: Charge Anywhere, Anytime",Bringing cutting-edge technology to your fingertips.,Justin Hess,Fashion,7753794,4262965,"Images/Wireless Charging: Charge Anywhere, Anytime_295.png",,False,True,2024-05-18,2024-09-28,2024-09-08,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Environment', 'Health']"
Cutting-Edge Robotics for All Ages,"Track, analyze, and improve your health seamlessly.",Mindy Wilkerson,Tech,8490437,68502,Images/Cutting-Edge Robotics for All Ages_296.png,,False,True,2024-01-02,2024-09-16,2024-09-11,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Tech', 'Music']"
Solar-Powered Charger for the Future,"Smart, efficient, and affordable home protection.",Carla Curry,Environment,720070,8188557,Images/Solar-Powered Charger for the Future_297.png,,True,False,2024-02-19,2024-10-02,2024-09-07,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Business', 'Animals']"
